movie_id,movie_name,genre
tt0986263,Surrogates,"Action, Sci-Fi, Thriller"
tt9844522,Escape Room: Tournament of Champions,"Action, Adventure, Horror"
tt3450958,War for the Planet of the Apes,"Action, Adventure, Drama"
tt2103281,Dawn of the Planet of the Apes,"Action, Adventure, Drama"
tt0358082,Robots,"Animation, Adventure, Comedy"
tt2224026,Home,"Animation, Adventure, Comedy"
tt0373051,Journey to the Center of the Earth,"Action, Adventure, Family"
tt0756683,The Man from Earth,"Drama, Fantasy, Mystery"
tt0120667,Fantastic Four,"Action, Adventure, Fantasy"
tt2231461,Rampage,"Action, Adventure, Sci-Fi"
tt1675192,Take Shelter,"Drama, Horror, Sci-Fi"
tt0242423,"Dude, Where's My Car?","Comedy, Mystery, Sci-Fi"
tt0100502,RoboCop 2,"Action, Crime, Sci-Fi"
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action, Adventure, Comedy"
tt0123755,Cube,"Drama, Horror, Mystery"
tt0426592,Superhero Movie,"Action, Comedy, Sci-Fi"
tt0397892,Bolt,"Animation, Adventure, Comedy"
tt0099088,Back to the Future Part III,"Adventure, Comedy, Sci-Fi"
tt1628841,Independence Day: Resurgence,"Action, Adventure, Sci-Fi"
tt0113855,Mortal Kombat,"Action, Adventure, Fantasy"
tt0070723,Soylent Green,"Crime, Mystery, Sci-Fi"
tt0088933,Cocoon,"Comedy, Drama, Sci-Fi"
tt7550000,Project Power,"Action, Crime, Sci-Fi"
tt1234721,RoboCop,"Action, Crime, Sci-Fi"
tt1583421,G.I. Joe: Retaliation,"Action, Adventure, Sci-Fi"
tt0129167,The Iron Giant,"Animation, Action, Adventure"
tt0164052,Hollow Man,"Action, Horror, Sci-Fi"
